transaction_id,amount,transaction_type,merchant_risk_score,account_age_days,transactions_last_24h,failed_attempts_24h,device_trust_score,location_mismatch,international,hour,distance_from_home_km,previous_chargebacks,is_fraud
TXN100000,201.28,ATM,0.246,2080,1,0,0.456,0,0,9,121.11,0,1
TXN100001,52.46,POS,0.615,3480,6,0,0.772,1,0,17,20.98,1,0
TXN100002,314.33,ATM,0.455,1374,2,0,0.836,0,1,2,41.08,0,1
TXN100003,380.15,POS,0.995,392,2,1,0.12,0,0,1,32.97,0,1
TXN100004,21.09,POS,0.863,2467,2,0,0.61,0,1,8,16.83,0,0
TXN100005,40.36,Online,0.526,3545,2,1,0.203,0,0,23,14.38,0,1
TXN100006,168.65,POS,0.808,645,3,0,0.181,0,0,18,30.16,0,0
TXN100007,108.18,POS,0.165,3605,0,0,0.405,0,0,7,9.49,0,0
TXN100008,145.94,POS,0.101,1988,2,0,0.164,0,0,20,105.08,0,1
TXN100009,63.24,POS,0.631,2059,3,0,0.936,0,0,11,8.87,0,0
TXN100010,357.59,POS,0.727,3504,3,1,0.724,0,0,14,69.91,0,1
TXN100011,323.05,ATM,0.053,1233,2,0,0.681,0,0,12,13.19,1,0
TXN100012,158.54,POS,0.201,2728,2,0,0.252,0,0,0,15.43,0,1
TXN100013,458.17,Online,0.537,61,3,2,0.866,0,1,6,27.5,0,0
TXN100014,236.87,POS,0.063,2460,2,1,0.335,0,0,2,63.79,0,0
TXN100015,62.85,Bank Transfer,0.424,86,1,0,0.337,1,1,14,38.48,1,1
TXN100016,214.59,ATM,0.482,45,2,0,0.901,0,0,9,9.91,1,0
TXN100017,56.89,Bank Transfer,0.922,1434,6,1,0.663,0,0,22,92.82,0,0
TXN100018,357.26,Bank Transfer,0.316,1378,6,0,0.701,0,0,6,33.88,0,0
TXN100019,141.19,POS,0.169,2864,1,0,,0,1,5,39.66,0,0
TXN100020,123.36,Online,0.008,3257,2,0,0.459,0,0,2,19.12,0,0
TXN100021,75.12,POS,0.122,3441,3,1,0.347,0,0,23,28.78,0,0
TXN100022,503.98,Bank Transfer,0.751,2286,2,1,0.339,0,0,0,1.63,0,0
TXN100023,127.16,Online,0.445,590,4,0,0.279,0,1,11,30.25,0,0
TXN100024,96.71,POS,0.199,2457,4,0,0.853,0,0,14,104.53,0,0
TXN100025,104.36,Bank Transfer,0.933,1795,3,0,0.359,0,0,0,34.94,0,1
TXN100026,252.73,ATM,0.788,1945,3,0,0.205,0,1,6,51.69,0,0
TXN100027,213.89,Bank Transfer,0.114,1846,5,0,0.797,0,0,5,19.32,0,0
TXN100028,224.24,POS,0.269,3226,2,0,0.967,0,1,10,23.94,2,0
TXN100029,228.34,POS,0.849,1406,6,0,0.79,0,0,12,31.57,0,1
TXN100030,1263.51,POS,0.692,3520,2,0,0.399,0,0,10,39.61,0,0
TXN100031,98.85,Online,0.946,1984,4,0,0.255,1,0,6,21.39,0,0
TXN100032,88.92,Online,0.076,2520,2,1,0.808,0,0,7,28.21,0,0
TXN100033,65.77,POS,0.775,3378,4,0,0.697,0,1,15,6.51,0,0
TXN100034,274.78,ATM,0.076,2978,1,0,0.277,0,0,1,38.31,0,0
TXN100035,458.96,POS,0.337,1617,4,0,0.953,0,0,20,12.21,1,0
TXN100036,132.43,Online,0.751,769,2,0,0.633,0,0,0,5.87,0,0
TXN100037,64.06,ATM,0.711,528,3,0,0.633,0,0,4,66.66,0,0
TXN100038,65.07,Online,0.002,1346,0,0,0.457,0,1,23,6.44,0,0
TXN100039,284.46,POS,0.202,2438,5,0,0.285,0,0,23,29.23,0,0
TXN100040,312.08,POS,0.779,2920,2,0,0.625,0,0,9,8.01,0,0
TXN100041,255.48,POS,0.126,143,2,1,0.478,0,0,7,4.55,1,0
TXN100042,76.29,ATM,0.326,1702,6,1,0.247,0,0,14,22.03,0,0
TXN100043,187.2,Online,0.184,3433,4,0,0.117,0,1,20,16.35,0,0
TXN100044,166.78,POS,0.111,3005,2,0,0.896,0,0,23,36.79,0,0
TXN100045,184.69,Bank Transfer,0.837,3432,4,0,,0,0,11,61.86,0,0
TXN100046,354.76,Online,0.061,3494,2,0,0.191,0,0,1,38.41,0,0
TXN100047,185.6,ATM,0.536,363,1,2,0.364,0,0,5,29.25,0,0
TXN100048,292.63,Online,0.693,2495,5,0,0.753,1,0,10,26.39,0,0
TXN100049,158.79,Bank Transfer,0.058,2024,0,1,0.682,0,1,5,46.12,0,0
TXN100050,198.17,POS,,1757,4,0,0.458,0,0,10,84.49,0,0
TXN100051,279.02,POS,0.334,2916,3,0,0.391,0,1,2,10.77,0,0
TXN100052,34.57,Bank Transfer,0.834,3413,4,0,0.989,0,0,2,25.89,0,0
TXN100053,107.81,Bank Transfer,0.798,1711,6,0,0.2,0,0,21,55.33,0,0
TXN100054,92.72,Online,0.794,2378,0,1,0.84,0,0,17,12.33,0,0
TXN100055,78.35,POS,0.399,1763,4,0,0.447,0,0,6,22.29,0,0
TXN100056,112.71,POS,0.823,2331,5,0,0.112,0,0,11,18.66,0,0
TXN100057,661.79,ATM,0.63,3542,3,0,0.819,0,0,9,46.62,0,0
TXN100058,62.44,ATM,0.379,2967,1,1,0.978,0,1,13,33.75,0,0
TXN100059,390.83,POS,0.081,864,2,0,0.847,0,0,2,45.21,0,0
TXN100060,27.58,POS,0.067,3167,2,0,0.66,0,0,1,17.69,0,0
TXN100061,106.18,Online,0.251,1935,3,0,0.771,0,0,3,49.14,0,0
TXN100062,174.64,ATM,0.3,2145,3,1,0.352,0,0,13,51.69,0,0
TXN100063,266.73,Online,0.928,446,2,0,0.35,0,0,7,41.49,0,1
TXN100064,302.24,Online,1.0,1640,5,0,0.873,0,0,22,16.17,0,0
TXN100065,328.11,Bank Transfer,0.144,1124,2,1,0.631,0,0,15,60.14,0,0
TXN100066,104.72,POS,0.943,348,3,1,0.502,0,0,12,2.78,0,0
TXN100067,93.47,Online,0.707,3110,2,1,0.668,0,1,17,57.13,0,1
TXN100068,350.01,Online,0.499,497,4,0,0.444,0,1,14,54.2,0,1
TXN100069,122.57,Online,0.955,2623,4,1,0.911,0,0,4,19.05,0,0
TXN100070,41.44,Bank Transfer,0.714,2727,3,1,0.363,0,0,10,38.31,0,1
TXN100071,47.79,Online,0.594,2245,1,0,0.244,0,1,21,11.35,0,0
TXN100072,59.18,Online,0.21,3071,3,0,0.262,0,0,16,19.92,0,0
TXN100073,244.0,POS,0.244,442,1,3,0.932,0,0,8,34.64,1,0
TXN100074,171.13,Online,0.912,88,1,0,0.377,0,0,3,3.45,0,0
TXN100075,296.04,POS,0.215,3109,3,0,0.98,0,1,17,23.09,0,0
TXN100076,96.81,POS,0.032,693,3,1,0.137,0,1,19,9.24,0,0
TXN100077,173.91,Online,0.266,1109,7,0,0.144,0,1,2,4.17,0,1
TXN100078,277.44,Online,0.481,2527,6,1,0.838,0,0,21,21.14,0,0
TXN100079,108.92,Bank Transfer,0.382,1966,5,0,0.464,0,0,12,14.66,0,0
TXN100080,234.34,Online,0.936,757,2,1,0.733,0,0,14,9.99,0,0
TXN100081,76.56,ATM,0.419,875,6,0,0.633,0,0,21,102.0,0,0
TXN100082,103.23,POS,0.889,3056,4,0,0.718,0,0,17,38.59,0,0
TXN100083,101.32,Online,0.595,1915,1,0,0.573,0,0,12,17.98,0,0
TXN100084,44.89,Bank Transfer,0.524,3369,8,0,0.733,0,0,23,27.19,0,0
TXN100085,241.52,Online,0.16,2064,1,0,0.613,0,1,11,10.97,0,0
TXN100086,92.81,ATM,0.271,2431,1,0,0.463,0,1,23,45.91,0,0
TXN100087,150.28,Online,0.867,1262,5,0,0.728,0,0,12,30.13,0,0
TXN100088,240.03,POS,0.78,138,1,0,0.209,0,0,1,32.37,0,1
TXN100089,231.95,Online,0.447,1861,6,0,0.341,0,0,7,11.82,0,0
TXN100090,288.7,POS,0.909,2673,1,0,0.269,0,0,17,24.96,0,0
